Date,Score
1/12/2022,81.25
2/12/2022,78.92
5/12/2022,86.18
6/12/2022,75.87
7/12/2022,73.17
8/12/2022,72.55
9/12/2022,73.31
12/12/2022,84.79
13/12/2022,78.09
14/12/2022,78.13
15/12/2022,79.53
16/12/2022,79.49
19/12/2022,82.69
20/12/2022,77.56
21/12/2022,82.45
22/12/2022,88.7
23/12/2022,87.88
28/12/2022,77.35
29/12/2022,75.48
30/12/2022,68.99
3/01/2023,72.94
4/01/2023,78.18
5/01/2023,79.49
6/01/2023,88.63
9/01/2023,91.21
10/01/2023,83.71
11/01/2023,91.75
12/01/2023,91.07
13/01/2023,92.45
16/01/2023,91.45
17/01/2023,92.34
18/01/2023,91.83
19/01/2023,91.89
20/01/2023,91.96
23/01/2023,90.87
24/01/2023,89.19
25/01/2023,91.47
27/01/2023,78.86
30/01/2023,89.25
31/01/2023,88.06
1/02/2023,63.34
2/02/2023,69.71
3/02/2023,68.73
6/02/2023,82.55
7/02/2023,69.81
8/02/2023,74.12
9/02/2023,74.42
10/02/2023,79.08
13/02/2023,80.72
14/02/2023,78.27
15/02/2023,78.58
16/02/2023,78.9
17/02/2023,77.82
20/02/2023,83.03
21/02/2023,82.41
22/02/2023,83.75
23/02/2023,81.58
24/02/2023,85.31
27/02/2023,91.61
28/02/2023,90.37
1/03/2023,90.13
2/03/2023,86.78
3/03/2023,84.98
6/03/2023,87.04
7/03/2023,86.23
8/03/2023,87.52
9/03/2023,88.52
10/03/2023,89.11
13/03/2023,92.12
14/03/2023,92.49
15/03/2023,87.04
16/03/2023,92
17/03/2023,93.21
20/03/2023,92.83
21/03/2023,93.64
22/03/2023,90.96
23/03/2023,93.26
24/03/2023,93.81
27/03/2023,92.92
28/03/2023,93.7
29/03/2023,93.44
30/03/2023,93.71
31/03/2023,92.98
3/04/2023,94.73
4/04/2023,89.27
5/04/2023,87.04
6/04/2023,88.18
11/04/2023,89.18
12/04/2023,88.67
13/04/2023,93.33
14/04/2023,93.25
17/04/2023,93.96
18/04/2023,94.22
19/04/2023,93.75
20/04/2023,91.94
21/04/2023,93.86
24/04/2023,90.67
26/04/2023,86.54
27/04/2023,92.5
28/04/2023,94.07
1/05/2023,91.11
2/05/2023,85.39
3/05/2023,81.94
4/05/2023,81.25
5/05/2023,84.39
8/05/2023,88.62
9/05/2023,88.24
10/05/2023,89.96
11/05/2023,90.92
12/05/2023,92.75
15/05/2023,92.99
16/05/2023,91.08
17/05/2023,93.8
18/05/2023,93.68
19/05/2023,93.25
22/05/2023,93.57
23/05/2023,93.45
24/05/2023,93.98
25/05/2023,93.59
26/05/2023,94.18
29/05/2023,93.75
30/05/2023,88.75
31/05/2023,93.18
1/06/2023,95.1
2/06/2023,93.14
5/06/2023,93.8
6/06/2023,91.92
7/06/2023,94.42
8/06/2023,93.92
9/06/2023,93.22
12/06/2023,93.14
13/06/2023,94.4
14/06/2023,87.32
15/06/2023,88.56
16/06/2023,89.81
19/06/2023,94.74
20/06/2023,91.72
21/06/2023,91.56
22/06/2023,93.98
23/06/2023,93.75
26/06/2023,94.77
27/06/2023,92.74
28/06/2023,93.59
29/06/2023,93.75
30/06/2023,95.32
3/07/2023,94.42
4/07/2023,94.1
5/07/2023,93.69
6/07/2023,94.7
7/07/2023,95.85
10/07/2023,95.87
11/07/2023,96.11
12/07/2023,96.27
13/07/2023,94.35
14/07/2023,94.99
17/07/2023,94.13
18/07/2023,95.82
19/07/2023,95.8
20/07/2023,93.06
21/07/2023,94.99
24/07/2023,94.41
25/07/2023,95.11
26/07/2023,95.52
27/07/2023,95.53
28/07/2023,95.48
31/07/2023,94.85
1/08/2023,95.65
2/08/2023,93.17
3/08/2023,95.4
4/08/2023,94.09
7/08/2023,90.9
8/08/2023,93.71
9/08/2023,95.4
10/08/2023,94.46
11/08/2023,96.26
14/08/2023,95.43
15/08/2023,95.35
16/08/2023,95.21
17/08/2023,93.38
18/08/2023,93.3
21/08/2023,94.47
22/08/2023,94.77
23/08/2023,95.84
24/08/2023,95.81
25/08/2023,95.5
28/08/2023,93.65
29/08/2023,95.9
30/08/2023,94.91
31/08/2023,90.53
1/09/2023,91.35
4/09/2023,94.46
5/09/2023,93.97
6/09/2023,92.85
7/09/2023,94.53
8/09/2023,94.4
11/09/2023,93.94
12/09/2023,94.82
13/09/2023,95.29
14/09/2023,95.56
15/09/2023,94.9
18/09/2023,96.07
19/09/2023,91.44
20/09/2023,94.57
21/09/2023,94.84
22/09/2023,94.52
25/09/2023,94.48
26/09/2023,94.83
27/09/2023,95.79
28/09/2023,95.43
29/09/2023,95.67
2/10/2023,94.72
3/10/2023,88.07
4/10/2023,89.85
5/10/2023,88.17
6/10/2023,92.3
9/10/2023,96.73
10/10/2023,92.13
11/10/2023,90.17
12/10/2023,92.32
13/10/2023,93.41
16/10/2023,95.5
17/10/2023,95.22
18/10/2023,95.39
19/10/2023,95.69
20/10/2023,93.05
23/10/2023,92.82
24/10/2023,95.64
25/10/2023,95.08
26/10/2023,95.6
27/10/2023,96.1
30/10/2023,95.91
31/10/2023,95
1/11/2023,95.6
2/11/2023,94.63
3/11/2023,90.22
6/11/2023,94.8
7/11/2023,94.53
8/11/2023,94.92
9/11/2023,93.88
10/11/2023,93.53
13/11/2023,93.27
14/11/2023,92.66
15/11/2023,93.37
16/11/2023,94.37
17/11/2023,95.59
20/11/2023,96.01
